b4_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b7_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Makhadir,Mabyan,Arhab,Yes,Yes,Borehole,Emergency shelter,Flush latrine to a tank/sewer system/pit,Cash assistance,Water,Sanitation services,NA,NA,NA,NGO/UN agency,NA,NA,Government,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,UNICEF,UNICEF,NA,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Ma'rib,Ma'rib,Aal Fujayh,Kara,YE2613 - 1205,9/1/2016,600,100,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Kara.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Odayn,Al Makhadir,NA,Yes,Yes,Borehole,Emergency shelter,Open defection,Livelihood assistance,Non-food items,Cash assistance,NA,NA,NA,NGO/UN agency,NA,Private,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Shabwan,Al-Erq Al-Sharqi,YE2613 - 1206,5/1/2018,1400,200,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al-Erq Al-Sharqi.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Khab wa Ash Sha'f,NA,NA,Yes,No,Borehole,Emergency shelter,Pit latrine-covered,Food,Non-food items,Cash assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Shabwan,Bin Jaber,YE2613 - 1207,5/1/2015,70,10,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Bin Jaber.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Markhah Al Olya,Markhah As Sufla,Bayhan,Yes,Yes,Water Trucking,Emergency shelter,Open defection,Food,Cash assistance,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,Private,NA,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Rashid Munif,Almaqariha Wahshan Alsharqi,YE2613 - 1208,1/1/2019,1000,150,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Almaqariha Wahshan Alsharqi.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Madghal Al Jid'an,Nihm,Hufash,No,Yes,Water Trucking,Emergency shelter,Open defection,Water,Sanitation services,Education,NA,NA,NA,NGO/UN agency,NA,NA,Government,Government,NA,NA,Government,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Ma'rib,Madghal Al Jid'an,Madghal Al Jidan,Al Garf Naba'ah ,YE2603 - 1209,1/1/2016,72,12,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Al Garf Naba'ah .pdf
N/A,Collective centre,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Move elsewhere,Yes,Shaharah,Dhamar City,Al Ja'fariyyah,Yes,Yes,Bottled water,Public building,Pit latrine-covered,Education,Sanitation services,Shelter / maintenance assistance,NA,Government,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,Private,NA,NGO/UN agency,Government,NA,NA,N/A,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Chamber of Commerce Collective Center,YE2612 - 1210,11/1/2015,210,35,none,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/YEM_CCCM_Chamber of Commerce Collective Center.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Bajil,NA,NA,Yes,Yes,Piped water into compound/public tap,Own house/apartment,Pit latrine-covered,Cash assistance,Medical assistance,Livelihood assistance,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NGO/UN agency,NA,NA,UNICEF,UNICEF,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Ma'rib,Ma'rib,Aal Rashid Munif,Wahshan Al Gharbi,YE2613 - 1211,2/1/2015,250,50,host community,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Wahshan Al Gharbi.pdf
N/A,Spontaneous settlement,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,As Sukhnah,Khawlan,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Water,Food,Shelter / maintenance assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Ramsah,YE2613 - 0082,5/1/2016,120,20,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Al Ramsah.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Mutun,NA,NA,Yes,No,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Food,Shelter / maintenance assistance,Nutrition services,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,UNICEF,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Ma'rib,Ma'rib,Aal Rashid Munif,Wahshan  ,YE2613 - 1213,5/1/2016,300,50,host community,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Wahshan .pdf
IOM,Spontaneous settlement,Public ,No,Private,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,As Sukhnah,Arhab,As Salafiyyah,Yes,Yes,Water Trucking,Makeshift shelter,Pit latrine-covered,Livelihood assistance,Sanitation services,Education,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,Private,NGO/UN agency,NGO/UN agency,Private,IOM,Sama Al Yemen Development Foundation (SYDF),Sama Al Yemen Development Foundation (SYDF),Islamic Relief Yemen (IRY),Adventist Development Relief Agency,N/A,IOM,UNICEF,NA,Charitable Society for Social Welfare (CSSW),UNICEF,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Al Jufainah ,YE2612 - 1214,5/1/2015,28000,4000,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/YEM_CCCM_Al Jufainah .pdf
N/A,Spontaneous settlement,Private,No,Private,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Kitaf wa Al Boqa',Sirwah,As Salafiyyah,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Water,Shelter / maintenance assistance,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Mabkhoot Addayat ,YE2612 - 1215,11/1/2016,200,40,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Mabkhoot Addayat .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Sa'dah,Bajil,Kitaf wa Al Boqa',Yes,No,Borehole,Makeshift shelter,Pit latrine-open,Cash assistance,Non-food items,Medical assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Hadhn ,YE2613 - 1216,11/1/2016,600,100,none,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Hadhn .pdf
N/A,Spontaneous settlement,Private,Yes,Private,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Haymah Al Kharijiyah,NA,NA,Yes,Yes,Borehole,Makeshift shelter,Pit latrine-open,Non-food items,Shelter / maintenance assistance,Livelihood assistance,NA,NA,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Ma'rib,Ma'rib,Aal Qazah,Al Hadba,YE2613 - 0193,11/1/2015,240,40,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Hadba.pdf
N/A,Collective centre,Public ,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Ans,Ar Rujum,Sirwah,Yes,Yes,Protected rainwater tank/well/spring,Public building,Flush latrine to the open,Sanitation services,Shelter / maintenance assistance,Non-food items,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,UNICEF,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Ma'rib,Raghwan,Raghwan,Asdas Governmental complex,YE2602 - 1218,11/1/2014,144,24,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Asdas Governmental complex.pdf
N/A,Collective centre,Public ,No,Government,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Ar Rujum,Ans,Sirwah,Yes,Yes,Borehole,Public building,Flush latrine to a tank/sewer system/pit,Cash assistance,Non-food items,Shelter / maintenance assistance,NA,NA,Private,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Ma'rib,Raghwan,Raghwan,Asdas Security Adminstration,YE2602 - 1219,5/1/2016,120,24,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Asdas Security Adminstration.pdf
N/A,Spontaneous settlement,Private,Yes,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,As Sudah,Dhi As Sufal,Wusab Al Aali,Yes,Yes,Borehole,Makeshift shelter,Pit latrine-open,Water,Cash assistance,Non-food items,Private,Private,NA,NGO/UN agency,NA,Private,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Ma'rib,Raghwan,Raghwan,Asdas - Kherbat Al Zuba,YE2602 - 1220,11/1/2017,175,35,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Asdas - Kherbat Al Zuba.pdf
N/A,Collective centre,Private,No,Private,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Shaharah,Kharif,Kushar,Yes,No,Unprotected rainwater tank/well/spring,Public building,Pit latrine-open,Water,Livelihood assistance,Shelter / maintenance assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NA,NA,NA,NA,Sama Al Yemen Development Foundation (SYDF),World Food Programme (WFP),NA,NA,UNICEF,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Ma'rib,Majzar,Al Ashraf - Majzar,Darb Al Ashraf ,YE2601 - 1221,5/1/2017,650,130,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Darb Al Ashraf .pdf
N/A,Collective centre,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Kushar,Al Jamimah,Hajjah,Yes,No,Borehole,Public building,Pit latrine-open,Water,Food,Medical assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NA,Government,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),World Food Programme (WFP),NA,UNICEF,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Ma'rib,Majzar,Al Ashraf - Majzar,Husn Addamer,YE2601 - 1222,11/1/2017,180,30,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Husn Addamer.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ma'rib,Ma'rib,Aal Rashid Munif,Al Naqe'ah,YE2613 - 0086,11/1/2017,40,7,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/YEM_CCCM_Al Naqe'ah.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Makhadir,Hays,Khab wa Ash Sha'f,Yes,Yes,Borehole,Emergency shelter,Open defection,Shelter / maintenance assistance,Food,Non-food items,NA,NA,NA,NGO/UN agency,NA,Private,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,Charitable Society for Social Welfare (CSSW),NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Ma'rib,Ma'rib,Aal Shabwan,Abo Hammam,YE2613 - 1224,7/1/2016,550,45,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Abo Hammam.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Sirwah,Hays,Shar'ab As Salam,Yes,Yes,Borehole,Emergency shelter,Pit latrine-covered,Shelter / maintenance assistance,Food,Cash assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,Sama Al Yemen Development Foundation (SYDF),World Food Programme (WFP),NA,UNICEF,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Ma'rib,Sirwah,Arak,Dhannat Al Haiyyal,YE2606 - 1225,4/1/2014,2500,450,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Dhannat Al Haiyyal.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Sirwah,At Tuhayta,NA,Yes,Yes,Borehole,Emergency shelter,Pit latrine-covered,Shelter / maintenance assistance,Food,Cash assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,Sama Al Yemen Development Foundation (SYDF),World Food Programme (WFP),NA,UNICEF,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Ma'rib,Sirwah,Arak,Dhannat As Sawabeen ,YE2606 - 1226,5/1/2014,2500,450,none,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Dhannat As Sawabeen .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Al Makhadir,Bajil,Al Hazm,Yes,Yes,Borehole,Emergency shelter,Open defection,Sanitation services,Education,Medical assistance,NGO/UN agency,NA,NGO/UN agency,NA,NGO/UN agency,Private,NGO/UN agency,NA,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,Sama Al Yemen Development Foundation (SYDF),NA,Adventist Development Relief Agency,NA,UNICEF,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Al-Hoish,YE2612 - 1227,5/1/2015,800,90,none,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al-Hoish.pdf
N/A,Collective centre,Private,No,Non-existent,Present,Lack of basic services,Host community,Return to origin,No,Mukayras,Markhah Al Olya,Kitaf wa Al Boqa',Yes,No,Borehole,Public building,Pit latrine-covered,Shelter / maintenance assistance,Food,Education,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib,Aal Rashid Munif,Ar RakzahK Al-Sa'idan,YE2613 - 1228,7/1/2015,84,14,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Ar RakzahK Al-Sa'idan.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,Evicted from property,None,Return to origin,No,Harib,NA,NA,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Food,Non-food items,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Al-Harr Camp,YE2612 - 1229,2/1/2018,42,7,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al-Harr Camp.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,Lack of basic services,None,Return to origin,No,Sirwah,Sa'dah,Al Maslub,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Sanitation services,Education,Medical assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NGO/UN agency,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,Islamic Relief Yemen (IRY),NA,UNICEF,NA,NA,NA,NA,NA,UNICEF,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Ma'rib,Sirwah,Sirwah,Ar Rawdha,YE2606 - 1230,4/1/2015,3900,650,none,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/YEM_CCCM_Ar Rawdha.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,Evicted from property,Host community,Return to origin,No,Nihm,NA,NA,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Food,Sanitation services,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,Government,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,UNICEF,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Ma'rib,Madghal Al Jid'an,Madghal Al Jidan,Badou Al Nasheefah,YE2603 - 0333,5/1/2016,1620,270,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Badou Al Nasheefah.pdf
