b4_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b7_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
N/A,Collective centre,Public ,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Khawlan,Amran,Ibb,Yes,Yes,Borehole,Public building,Flush latrine to a tank/sewer system/pit,Non-food items,Sanitation services,Shelter / maintenance assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Shuqman Dispensary Camp,YE2612 - 1195,10/1/2015,300,50,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Shuqman Dispensary Camp.pdf
IOM,Collective centre,Public ,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Nihm,Al Jabin,Ba'dan,Yes,Yes,Water Trucking,Makeshift shelter,Pit latrine-covered,Education,Cash assistance,Water,NA,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NA,NA,NGO/UN agency,NA,Government,NA,NA,Sama Al Yemen Development Foundation (SYDF),World Food Programme (WFP),Adventist Development Relief Agency,NA,UNICEF,NA,NA,Charitable Society for Social Welfare (CSSW),NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Almutahaf,YE2612 - 1196,7/1/2016,683,137,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/YEM_CCCM_Almutahaf.pdf
N/A,Spontaneous settlement,Public ,No,Government,Present,House/livelihood assets destroyed/occupied,None,Move elsewhere,Yes,As Saddah,Hobeish,Al Qanawis,Yes,Yes,Water Trucking,Emergency shelter,Pit latrine-open,Livelihood assistance,Shelter / maintenance assistance,Sanitation services,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Al Muhammasheen Foundation ,YE2612 - 1197,5/1/2005,700,102,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Muhammasheen Foundation .pdf
IOM,Spontaneous settlement,Private,Yes,NGO/UN agency,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Otmah,Yarim,Sirwah,Yes,Yes,Bottled water,Emergency shelter,Pit latrine-open,Legal services,Cash assistance,Shelter / maintenance assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,Government,NA,NA,Yemen Red Crescent Society (YRCS),World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Harat Altadamu,YE2612 - 1198,1/1/2016,1393,249,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/YEM_CCCM_Harat Altadamu.pdf
IOM,Collective centre,Public ,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Ad Dohi,Otmah,Harad,Yes,Yes,Water Trucking,Emergency shelter,Pit latrine-covered,Education,Cash assistance,Shelter / maintenance assistance,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,N/A,Islamic Relief Yemen (IRY),NA,Building Foundation for Development (BFD),Charitable Society for Social Welfare (CSSW),NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Community College Building,YE2612 - 0304,2/1/2015,3242,646,none,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Community College Building.pdf
IOM,Collective centre,Private,No,NGO/UN agency,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Sirwah,Wusab Al Aali,Al Jabin,Yes,Yes,Borehole,Emergency shelter,Pit latrine-covered,Cash assistance,Shelter / maintenance assistance,Sanitation services,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,Government,Government,National Foundation for Development & Humanitarian Response (NFDHR),Yemen Red Crescent Society (YRCS),Millenium Development Foundation,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Masna' Athban ,YE2612 - 1200,4/1/2015,894,169,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/YEM_CCCM_Masna' Athban .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Bidbadah,NA,NA,Yes,Yes,Protected rainwater tank/well/spring,Emergency shelter,Pit latrine-covered,Food,Non-food items,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,UNICEF,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Rashid Munif,Al Mekrab,YE2613 - 0087,2/1/2015,300,45,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Mekrab.pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Nihm,Sirwah,Wusab Al Aali,Yes,Yes,Borehole,Emergency shelter,Pit latrine-covered,Shelter / maintenance assistance,Non-food items,Food,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,N/A,King Salman Humanitarian Aid and Relief Center (KSRelief),World Food Programme (WFP),NA,UNICEF,King Salman Humanitarian Aid and Relief Center (KSRelief),Charitable Society for Social Welfare (CSSW),NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Ma'rib,Majzar,Al Ashraf - Majzar,Alkhaniq,YE2601 - 0308,12/1/2015,3600,653,none,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Alkhaniq.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,Evicted from property,Host community,Stay in the site,Yes,Bani Dabyan,Zabid,NA,No,Yes,Borehole,Rented house/appartment,Pit latrine-covered,Water,Food,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Jawar Kamb Camp - Azzira'ah - Dhi Ghawsh ,YE2612 - 1203,1/1/2018,100,20,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Jawar Kamb Camp - Azzira'ah - Dhi Ghawsh .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Al Qahirah,Adh Dhihar,Ma'in,Yes,Yes,Water Trucking,Emergency shelter,Pit latrine-open,Non-food items,Water,Food,NA,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Bin Abboud - Muhammasheen ,YE2612 - 1204,11/1/2015,175,35,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Bin Abboud - Muhammasheen .pdf
